source_id,ra,dec,parallax,parallax_error,period,period_error,mag,mag_err
4.10381E+18,280.3440067,-13.84139721,0.608228892,0.058904093,4.710753291,5.58E-05,8.489,0.019
4.10399E+18,276.8060441,-15.11798852,0.428941895,0.053385417,5.546925717,4.34E-05,7.227,0.024
2.61548E+17,77.66762375,49.68760328,0.33084747,0.043346447,8.002633428,2.26E-05,6.848,0.018
2.79382E+17,76.63187927,55.35351534,1.271754392,0.034650336,3.294867077,7.72E-06,4.962,0.02
4.22924E+17,3.790869381,58.42428076,0.398569711,0.030092438,4.071170351,3.34E-06,7.24,0.023
4.22226E+17,3.617656629,56.25293063,0.358621171,0.032548524,5.809011987,1.43E-05,6.674,0.016
1.97707E+18,332.2620623,51.04584529,0.403412054,0.03423174,4.32355293,2.35E-05,7.135,0.017
2.61927E+17,81.89283348,50.86736883,0.160817369,0.023974653,2.8852629,7.17E-06,10.894,0.018
2.70273E+17,64.94524473,48.95326133,0.520506769,0.03763391,4.972485219,9.85E-06,6.242,0.017
2.01658E+18,350.6184643,62.75714291,0.27083803,0.028402105,15.09343368,2.26E-04,6.448,0.024
1.81911E+18,309.7195284,23.25868391,0.540134158,0.059400864,13.23980785,0.001034975,4.704,0.02
6.86946E+18,293.6444501,-19.36111831,0.177453302,0.031477586,2.119006818,1.88E-06,11.475,0.021
4.30647E+17,5.012798102,63.17978932,0.302839312,0.033398428,3.810714931,1.55E-05,8.688,0.019
4.29386E+17,0.246798549,60.95900196,0.223627483,0.029940385,4.365158711,2.01E-05,8.136,0.021
4.29563E+17,3.513431748,60.98626392,0.246697171,0.025049661,3.630445308,8.09E-06,8.888,0.019
3.03188E+18,110.5099048,-14.3181802,0.275704468,0.048918176,6.994834624,3.42E-05,7.131,0.02
4.19014E+18,298.0874965,-11.36692281,0.737999462,0.052144428,5.376679535,3.95E-05,5.627,0.016
1.96486E+18,319.8424257,38.23746457,1.15055179,0.066348405,3.332334532,1.06E-04,4.46,0.036
4.15645E+18,279.5137735,-8.368946708,0.4294021,0.066752246,5.739828547,1.28E-04,5.589,0.016
2.07143E+18,308.2262109,46.60124953,0.361573339,0.026155997,15.11945681,1.52E-04,5.71,0.021
5.06581E+17,27.77924634,59.88821457,0.334629051,0.041980054,6.206266813,1.29E-05,7.689,0.024
5.0678E+17,31.95200206,58.44353369,0.32982713,0.030805725,10.87726938,2.37E-04,6.291,0.02
5.05368E+17,29.62896619,57.8198497,0.107906033,0.0212889,3.329102929,3.11E-06,11.477,0.02
5.067E+17,33.28118918,58.07995152,0.225957806,0.038646885,4.565242916,2.35E-05,8.897,0.021
2.16686E+18,313.7396991,47.53379,0.527685753,0.02801027,4.049212553,1.40E-05,7.558,0.02
2.16179E+18,315.0265811,42.59755047,0.780722262,0.036674655,14.71796618,0.001270211,4.491,0.02
2.16577E+18,317.7265365,49.14204191,0.386795466,0.027892048,7.251399785,2.23E-05,6.95,0.026
1.98101E+18,327.398,52.39522626,0.277939187,0.029724068,4.639076912,4.41E-05,8.262,0.027
1.87311E+18,316.0693027,39.97223374,0.446391589,0.028186967,7.85582023,3.33E-05,6.305,0.018
1.87325E+18,314.3367804,40.17748706,0.349530487,0.027657529,20.14034036,3.56E-04,5.756,0.018
1.87026E+18,310.8507635,35.58777728,0.898267259,0.027007756,16.39062116,2.79E-04,3.973,0.276
4.30377E+18,299.3875936,11.04365975,0.300350863,0.042532332,6.179260037,2.61E-05,7.82,0.021
5.61419E+18,115.2040807,-25.45770861,0.179051265,0.033325371,4.171174564,1.13E-05,9.181,0.023
5.53902E+18,118.7108099,-37.62245639,0.290290437,0.052737188,3.707887128,6.53E-06,9.109,0.019
5.62637E+18,131.0506079,-35.47370852,0.166001315,0.030149915,7.216889896,1.26E-04,7.483,0.017
1.96098E+18,330.104757,43.44535264,0.509449416,0.030577736,5.331658642,6.51E-06,6.459,0.017
1.96075E+18,327.9226497,43.13402365,0.434985399,0.028487995,4.864382406,1.60E-05,6.738,0.018
4.26904E+18,288.197138,3.557398508,0.690106861,0.049826416,9.480547236,1.40E-04,5.327,0.02
1.98682E+17,72.85353454,38.18855101,0.178184883,0.029037875,2.659633958,6.86E-06,10.443,0.018
2.06212E+17,74.06343861,44.78185043,0.197610273,0.035331426,3.406800453,7.12E-06,9.41,0.021
2.00709E+17,75.34662482,39.96038151,0.542955365,0.051119405,11.62570318,1.11E-04,5.256,0.016
2.07871E+18,297.0644335,43.12691764,0.413398762,0.023407343,4.925492982,1.81E-05,6.919,0.023
5.08915E+17,24.30840752,57.75921614,0.345537579,0.038508604,14.79237289,1.76E-04,6.203,0.018
5.10585E+17,19.00501817,61.62070533,0.328963328,0.043584855,4.277698836,1.62E-05,8.036,0.016
5.13074E+17,24.74993829,64.98923764,0.279641693,0.034435497,2.871507063,7.23E-06,8.319,0.021
4.33374E+18,252.3835972,-12.40361437,0.140787936,0.023495887,12.07962832,1.18E-04,10.749,0.026
1.2082E+18,229.1186819,16.44430248,0.247411677,0.035724458,1.165466895,1.18E-06,11.146,0.021
2.17468E+18,326.3266934,54.49638439,0.187453718,0.029004209,7.230988141,8.41E-05,8.043,0.053
4.09478E+18,274.2488214,-19.07583136,0.51310307,0.077340699,21.83409596,0.00135294,4.781,0.016
4.09291E+18,277.9722098,-19.12509894,1.46008133,0.044714487,6.093326233,5.18E-05,3.93,0.246
4.2536E+18,280.6117492,-5.340851646,0.376316916,0.064851794,3.91771053,2.17E-05,7.492,0.031
4.25344E+18,280.7386395,-5.820912466,0.410165547,0.045752984,12.91058141,1.42E-04,6.46,0.034
4.65719E+17,41.18047635,61.46469941,0.306969537,0.027987353,3.832875868,8.97E-06,7.959,0.023
4.66906E+17,48.44587257,63.34947951,0.115796755,0.022836284,3.032676846,8.71E-06,9.969,0.02
4.70361E+17,61.24359271,58.65978116,0.782275152,0.039722032,7.915605269,4.76E-05,4.701,0.023
1.82031E+18,299.0052639,16.63476448,0.642552935,0.093156201,8.386033915,0.001019733,3.845,0.208
2.06046E+18,304.1978823,36.54994277,0.266504491,0.02911821,4.945240775,2.56E-05,8.104,0.016
2.05837E+18,301.1106616,34.11225029,0.380757517,0.033244288,17.07369,5.45E-04,5.642,0.018
2.06002E+18,302.2823188,37.15195261,0.399355113,0.027886384,4.364696954,1.26E-05,7.202,0.017
5.53007E+18,129.7834274,-37.37550786,0.14192308,0.028308094,4.063921737,8.04E-06,9.771,0.025
2.52595E+17,67.62786754,43.65312908,0.192689659,0.033571769,1.999466611,3.47E-06,9.916,0.018
2.54138E+17,70.70943924,46.70119708,0.280358247,0.052037965,27.80755365,5.05E-04,8.373,0.023
4.20465E+18,287.0865441,-7.437768328,0.943545541,0.047613822,6.806008995,9.86E-05,4.904,0.017
1.89727E+17,86.0583339,37.58686856,0.216268582,0.039824665,5.259433925,6.24E-05,8.666,0.024
5.14736E+17,33.88109547,63.51778089,0.165592987,0.028769783,4.395503779,5.59E-04,7.807,0.02
4.73294E+17,57.10697678,59.44226844,0.715603846,0.03147753,5.066430268,1.73E-05,6.505,0.017
5.23888E+17,11.62454123,63.54327297,0.339567155,0.034722843,5.512726634,1.94E-05,7.815,0.018
5.12524E+17,23.18009883,63.59380465,1.296313049,0.031333042,8.377013306,1.23E-04,4.059,0.312
2.01546E+18,351.4936232,61.26683349,0.155259684,0.027720157,4.000240529,8.46E-06,9.414,0.025
2.01562E+18,354.8637092,62.37213804,0.228761585,0.037659381,5.666169113,2.78E-05,7.948,0.027
2.01603E+18,356.260926,63.00384618,0.382628837,0.030674086,7.801123395,4.56E-05,6.812,0.017
2.01663E+18,352.3031446,63.37429565,0.242517854,0.027646779,14.37513788,2.11E-04,6.732,0.02
2.01582E+18,354.3169056,62.42898861,0.587691525,0.032255623,6.296639149,4.73E-05,6.16,0.02
2.93125E+18,108.2986439,-18.73074039,0.277425187,0.03731198,5.728612642,1.11E-04,7.82,0.024
4.0577E+18,266.8900756,-27.83083324,3.431436774,0.201965811,7.017529307,4.38E-04,2.499,0.264
4.05802E+18,262.4312095,-30.86917506,0.606412623,0.053860564,1.761819559,3.06E-06,8.162,0.036
4.06643E+18,273.2604032,-23.11729418,1.119032406,0.052684603,2.789409113,4.75E-06,4.781,0.024
4.08592E+18,282.7494724,-20.29525222,1.248455031,0.041092783,5.191731401,5.17E-05,4.572,0.038
4.15454E+18,275.6127839,-10.12477171,0.490294113,0.052025652,5.612643868,3.11E-05,6.562,0.031
3.32985E+18,92.80659413,9.612491536,0.387306927,0.05926141,8.614876592,2.52E-04,6.611,0.024
4.26882E+17,12.47192087,60.12737915,0.403430618,0.030088722,4.501623749,1.23E-05,7.121,0.018
4.28621E+17,7.494096944,60.21195747,0.422230056,0.034159352,8.000656115,3.35E-05,5.857,0.027
2.02726E+18,299.3691831,26.55644979,0.840802726,0.039363257,6.32059038,6.48E-05,5.201,0.021
2.02795E+18,297.8787645,27.46020707,0.372855299,0.03034934,44.87620944,0.001211108,3.806,0.228
2.03043E+18,299.454192,30.26589544,0.216274977,0.028991787,11.6630405,1.99E-04,7.366,0.021
2.03178E+18,296.2030594,29.26467923,1.169541947,0.051568658,3.845987064,1.75E-05,5.418,0.024
2.03085E+18,300.1931414,30.90759045,0.245333331,0.031414984,6.961104102,7.15E-05,8.699,0.018
