initial_mass,Gaia_G,Gaia_BP,Gaia_RP
0.1,9.258023,11.354609,7.923517
0.10078395940862798,9.243632,11.337715,7.909668
0.10501789520554958,9.16622,11.24648,7.835224
0.1092500898083592,9.089163,11.155025,7.761197
0.11347838873622051,9.01238,11.063249,7.687499
0.117699386755902,8.936105,10.971748,7.614277
0.12191030602027217,8.860389,10.880704,7.541565
0.12612666476224874,8.785039,10.789873,7.469197
0.1303306414536362,8.710196,10.699503,7.397302
0.13454330371357467,8.635462,10.609119,7.325515
0.13875544085921157,8.56084,10.518804,7.253834
0.14296661424075713,8.486057,10.428354,7.181987
0.14719747221816448,8.410496,10.337097,7.109378
0.15235950188260106,8.328703,10.235765,7.031323
0.1592929407928638,8.237967,10.1178,6.945953
0.1662235714469495,8.149511,10.001822,6.863112
0.173128981723764,8.063839,9.888477,6.783329
0.17999661457045765,7.981553,9.778456,6.707234
0.1868081245324693,7.903111,9.672392,6.635287
0.19354770142619399,7.829087,9.571033,6.568004
0.20017561513123225,7.760666,9.475788,6.506349
0.206045941733572,7.716566,9.41041,6.467708
0.21196604177212658,7.671392,9.34425,6.428007
0.2179477005800915,7.625122,9.277308,6.387217
0.22394894861980966,7.579008,9.210873,6.346582
0.22994023310594286,7.53381,9.145728,6.306851
0.23592569867538968,7.489384,9.081716,6.267887
0.24192306331501467,7.44513,9.01816,6.229107
0.24793732445130953,7.40085,8.954901,6.190303
0.25621807471371527,7.346588,8.877342,6.142899
0.26572311511915514,7.286767,8.792204,6.090706
0.2753183326882895,7.225936,8.706359,6.037602
0.28499913427294177,7.164083,8.619783,5.983582
0.2947643638576259,7.101112,8.532331,5.928566
0.3038419807893763,7.043058,8.451024,5.878263
0.3104502842937497,7.001171,8.3916,5.84235
0.3122439007680464,6.988634,8.374181,5.831499
0.31400092551415926,6.977038,8.35793,5.821517
0.31572350936882054,6.966253,8.342687,5.812286
0.3174132956355738,6.956221,8.328398,5.803744
0.31907207572403257,6.946807,8.314879,5.795772
0.3229307839088963,6.924218,8.282372,5.776696
0.329669303704747,6.883694,8.224346,5.742483
0.3414601324732061,6.811823,8.122201,5.681828
0.35422176937671934,6.733797,8.011457,5.61635
0.3683578827403856,6.64668,7.887366,5.543944
0.38177025782238905,6.564536,7.769944,5.476318
0.39529093209684074,6.482188,7.652057,5.409042
0.4141990372174724,6.367622,7.488009,5.316184
0.4330927326849108,6.254873,7.328491,5.224745
0.4524267214450511,6.142074,7.171533,5.132842
0.473487859019842,6.025096,7.011073,5.037311
0.49464660624925505,5.910809,6.858081,4.943195
0.5201552392079962,5.77963,6.685783,4.835232
0.5472457852620175,5.643723,6.510669,4.723072
0.5758318271752304,5.511663,6.344668,4.612569
0.6038559189271482,5.387288,6.19028,4.507698
0.6275390886666309,5.290117,6.07053,4.425198
0.6511580349927084,5.19473,5.95397,4.343678
0.6746798879089629,5.101124,5.841033,4.263204
0.6980758177821711,5.009659,5.731823,4.184177
0.7284791504207452,4.914036,5.619752,4.100371
0.7595640544342731,4.817655,5.507252,4.01575
0.790666726293942,4.721256,5.394789,3.931126
0.8218016999132937,4.624797,5.281996,3.846553
0.8529782001131262,4.52854,5.169719,3.762153
0.8841207784462584,4.433495,5.05901,3.678477
0.9168873199492564,4.344436,4.956347,3.599531
0.9511189103727808,4.261656,4.861887,3.525682
0.9883358878246498,4.172246,4.759873,3.44593
1.0270051237846438,4.086735,4.6628,3.369358
1.0512171353807989,4.035562,4.604894,3.323446
1.0817419072504835,3.97372,4.535141,3.267846
1.1201030496673443,3.898184,4.450126,3.199869
1.1561816070429607,3.830935,4.374776,3.139153
1.2095848786421728,3.735685,4.268348,3.053017
1.237158603327984,3.686877,4.2138,3.008934
1.9440655123917348,2.776123,3.219284,2.171303
2.1556325123957656,2.553279,2.980031,1.964364
2.368923149390132,2.332862,2.744681,1.757769
2.513435002640332,2.180327,2.582153,1.6139
2.714724765091323,1.952865,2.340497,1.399091
2.8640159086437476,1.756996,2.133222,1.214557
3.0168655527815913,1.514959,1.877529,0.98673
3.117636314599291,1.302425,1.653443,0.786166
3.197081587026466,1.100414,1.440514,0.595569
3.2606398796684974,0.912492,1.241743,0.419204
3.3205172271577252,0.732203,1.049984,0.251362
3.37933653487908,0.558218,0.86355,0.091169
3.4354874851270436,0.399449,0.691248,-0.052268
3.48617897905568,0.255577,0.532817,-0.179221
3.531201150705926,0.123504,0.385337,-0.292866
3.5697925063349807,0.006002,0.251496,-0.390222
3.6017916835758905,-0.094778,0.13347,-0.468981
3.6291753969849254,-0.179587,0.030967,-0.530542
3.6540523792466866,-0.257151,-0.063679,-0.584395
3.6771627830959117,-0.330311,-0.153721,-0.633252
3.699177918821535,-0.40137,-0.241999,-0.679621
3.720300776004684,-0.469602,-0.326638,-0.722757
3.740634457578705,-0.534821,-0.407935,-0.762715
3.760257352112193,-0.597552,-0.486567,-0.799585
3.779236073771942,-0.657234,-0.562144,-0.832867
3.797626036077404,-0.713591,-0.633788,-0.862679
3.81661179534153,-0.767104,-0.70193,-0.889838
3.8352306493521424,-0.816463,-0.765427,-0.914737
3.853349656246662,-0.861251,-0.821952,-0.937264
3.8710372895530947,-0.901183,-0.872581,-0.957083
3.888280694924372,-0.93564,-0.916738,-0.973181
3.905183743136999,-0.964571,-0.954229,-0.985829
3.921751527668157,-0.988465,-0.985715,-0.995196
3.9380160834098152,-1.007999,-1.012,-1.001743
3.9539205690111956,-1.024184,-1.034227,-1.006279
3.969621290998923,-1.037509,-1.05305,-1.009015
3.9851070100560566,-1.048305,-1.068805,-1.010332
4.000402760200936,-1.056902,-1.081998,-1.010209
4.017550233450198,-1.062979,-1.09222,-1.008492
4.03453572819106,-1.066788,-1.099925,-1.005041
4.051292625609268,-1.068806,-1.10569,-1.000127
4.06805652020898,-1.06859,-1.109142,-0.993179
4.084694747578385,-1.066531,-1.110544,-0.984862
